user_id,care_gap_closure_rate,avg_alert_response_min,patient_satisfaction_score,documentation_accuracy_pct,30day_readmission_rate
U0105,0.631,35,4.1,91.7,0.11
U0106,0.769,9,4.0,86.4,0.106
U0107,0.689,23,4.5,86.8,0.117
U0108,0.827,4,3.6,93.3,0.086
U0109,0.803,8,4.2,92.6,0.103
U0110,0.89,12,4.1,84.7,0.123
U0111,0.792,22,4.2,91.9,0.083
U0112,0.586,11,4.0,84.6,0.091
U0113,0.831,6,4.6,97.0,0.097
U0114,0.621,16,4.3,82.7,0.138
U0115,0.777,11,4.5,100,0.079
U0116,0.935,9,4.4,91.3,0.065
U0117,0.606,10,4.2,87.3,0.138
U0118,0.839,5,4.3,92.6,0.094
U0119,0.76,16,4.4,82.5,0.091
U0120,0.684,47,3.6,85.6,0.103
U0121,0.742,29,4.5,89.0,0.117
U0122,0.846,3,4.2,94.4,0.092
U0123,0.81,11,4.2,93.8,0.068
U0124,0.697,10,4.6,86.9,0.088
U0125,0.74,17,3.7,88.5,0.078
U0126,0.822,16,4.4,85.9,0.124
U0127,0.68,8,4.1,89.2,0.129
U0128,0.789,5,4.5,98.3,0.095
U0129,0.717,26,3.8,90.2,0.127
U0130,0.819,13,4.1,89.9,0.148
U0131,0.742,9,4.5,90.3,0.144
U0132,0.764,21,4.2,82.7,0.115
U0133,0.626,18,3.7,83.8,0.127
U0134,0.725,8,4.0,90.3,0.121
U0135,0.762,11,5.0,100,0.081
U0136,0.465,32,3.6,78.7,0.135
U0137,0.767,14,4.4,86.8,0.081
U0138,0.664,5,4.5,88.8,0.09
U0139,0.674,37,4.6,89.2,0.12
U0140,0.674,21,4.3,93.8,0.101
U0141,0.739,21,4.2,91.4,0.129
U0142,0.66,25,4.1,92.3,0.113
U0143,0.559,11,3.6,80.5,0.118
U0144,0.991,9,4.4,90.6,0.076
U0145,0.904,8,3.8,98.6,0.078
U0146,0.651,26,4.2,86.6,0.043
U0147,0.741,13,3.7,91.3,0.059
U0148,0.738,7,4.6,100,0.068
U0149,0.636,14,3.8,89.3,0.091
U0150,0.73,20,4.2,91.4,0.137
U0151,0.782,3,4.3,92.1,0.058
U0152,0.758,12,3.9,78.9,0.099
U0153,0.77,13,4.2,89.0,0.125
U0154,0.801,31,3.5,88.7,0.136
U0155,0.772,6,4.7,90.5,0.083
U0156,1.0,12,3.9,94.9,0.098
U0157,0.592,49,4.1,80.2,0.128
U0158,0.823,6,4.1,93.4,0.084
U0159,0.692,10,3.6,87.4,0.105
U0160,0.742,16,4.6,91.3,0.097
U0161,0.587,10,4.3,91.2,0.095
U0162,0.839,31,4.2,82.8,0.126
U0163,0.699,32,4.4,84.8,0.087
U0164,0.586,19,4.1,74.8,0.093
U0165,0.573,16,4.8,87.6,0.132
U0166,0.759,24,4.3,97.9,0.126
U0167,0.771,27,3.7,84.2,0.112
U0168,0.754,5,4.9,91.5,0.06
U0169,0.908,24,4.2,97.5,0.077
U0170,0.906,11,3.9,100,0.055
U0171,0.767,14,4.4,86.6,0.105
U0172,0.704,10,4.2,85.0,0.117
U0173,0.793,12,3.8,89.5,0.136
U0174,0.678,9,4.2,82.6,0.108
U0175,0.77,19,4.2,85.6,0.13
U0176,0.741,20,3.9,89.8,0.093
U0177,0.508,18,3.6,86.9,0.093
U0178,0.883,16,4.3,99.5,0.054
U0179,0.749,14,4.8,90.1,0.11
U0180,0.83,8,4.7,95.3,0.101
U0181,0.784,16,4.0,87.8,0.123
U0182,0.671,33,3.4,80.3,0.125
U0183,0.604,17,4.2,81.1,0.102
U0184,0.667,21,3.9,90.9,0.092
U0185,0.727,26,4.2,89.0,0.12
U0186,0.652,10,4.4,98.9,0.069
U0187,0.763,7,4.3,89.4,0.081
U0188,0.632,13,4.2,88.4,0.126
U0189,0.84,4,4.0,93.7,0.051
U0190,0.781,8,4.2,80.2,0.106
U0191,0.585,20,3.8,88.5,0.106
U0192,0.569,15,4.5,94.0,0.13
U0193,0.563,21,4.0,84.0,0.117
U0194,0.664,16,3.9,85.2,0.145
U0195,0.923,8,4.2,96.5,0.092
U0196,0.875,19,4.3,94.7,0.123
U0197,0.679,13,4.4,80.6,0.112
U0198,0.629,15,4.2,85.2,0.089
U0199,0.716,6,4.1,88.4,0.078
U0200,0.711,12,3.7,85.8,0.096
U0201,0.817,14,4.4,89.6,0.098
U0202,0.753,14,4.3,98.7,0.095
U0203,0.697,14,4.1,97.0,0.13
U0204,0.867,4,4.4,94.0,0.091
U0205,0.548,43,3.8,72.6,0.154
U0206,0.815,11,4.6,97.3,0.058
U0207,0.76,15,3.9,92.0,0.102
U0208,0.55,16,3.7,84.8,0.119
U0209,0.839,8,4.8,92.3,0.056
U0210,0.789,20,4.7,98.8,0.079
U0211,0.682,9,4.2,86.3,0.116
U0212,0.701,12,4.1,89.1,0.097
U0213,0.722,8,4.1,84.9,0.112
U0214,0.673,39,3.7,79.0,0.157
U0215,0.573,18,3.9,80.3,0.149
U0216,0.676,8,4.2,94.5,0.095
U0217,0.677,8,4.5,83.7,0.08
U0218,0.832,7,4.5,95.8,0.083
U0219,0.721,9,4.2,88.2,0.095
U0220,0.749,8,4.1,91.4,0.04
U0221,0.667,26,4.2,86.0,0.146
U0222,0.629,9,3.8,91.9,0.114
U0223,0.737,16,4.2,89.7,0.108
U0224,0.758,21,3.9,84.7,0.126
U0225,0.858,8,4.4,88.2,0.115
U0226,0.867,5,4.3,97.2,0.076
U0227,0.592,54,3.8,77.3,0.135
U0228,0.685,5,4.4,96.8,0.042
U0229,0.956,5,4.0,94.7,0.092
U0230,0.641,6,4.0,86.5,0.078
U0231,0.827,6,4.5,93.3,0.075
U0232,0.65,34,4.7,90.9,0.112
U0233,0.763,16,3.9,85.7,0.118
U0234,0.742,5,4.3,98.2,0.09
U0235,0.767,9,4.0,95.3,0.029
U0236,0.768,10,3.9,96.7,0.134
U0237,0.617,5,4.0,86.1,0.102
U0238,0.747,16,4.6,83.7,0.111
U0239,0.756,17,4.2,88.4,0.071
U0240,0.583,46,4.3,81.0,0.13
U0241,0.926,11,5.0,95.0,0.071
U0242,0.777,15,4.6,97.4,0.071
U0243,0.691,25,3.8,75.6,0.142
U0244,0.788,13,4.8,90.0,0.122
U0245,0.901,3,4.3,87.8,0.087
U0246,0.715,11,4.1,95.0,0.061
U0247,0.733,19,4.5,91.7,0.124
U0248,0.754,9,4.8,99.0,0.125
U0249,0.715,4,4.3,90.4,0.142
U0250,0.771,15,4.2,89.8,0.128
U0251,0.714,16,4.0,89.2,0.121
U0252,0.842,4,4.2,91.9,0.041
U0253,0.769,7,4.2,94.5,0.107
U0254,0.891,7,5.0,90.7,0.064
U0255,0.617,11,4.3,85.8,0.134
U0256,0.626,12,4.4,85.1,0.113
U0257,0.636,10,4.2,88.1,0.128
U0258,0.698,22,4.0,88.8,0.108
U0259,0.543,17,3.6,75.8,0.163
U0260,0.541,15,3.5,86.6,0.106
U0261,0.72,6,3.9,89.0,0.127
U0262,0.598,30,3.8,87.4,0.096
U0263,0.744,4,4.7,92.1,0.102
U0264,0.724,10,3.9,92.9,0.14
U0265,0.892,17,4.1,91.9,0.061
U0266,0.913,3,4.2,94.1,0.078
U0267,0.721,40,4.1,85.8,0.108
U0268,0.691,44,4.3,86.5,0.11
U0269,0.778,9,4.3,96.2,0.077
U0270,0.68,5,4.7,84.7,0.09
U0271,0.611,15,4.6,92.4,0.108
U0272,0.841,12,4.4,83.6,0.133
U0273,0.665,5,4.1,86.1,0.12
U0274,0.671,24,3.6,88.5,0.086
U0275,0.795,5,4.2,86.8,0.089
U0276,0.734,16,4.5,94.5,0.075
U0277,0.817,13,3.4,80.3,0.092
U0278,0.655,30,3.5,87.5,0.121
U0279,0.608,12,4.4,87.6,0.156
U0280,0.877,15,3.9,95.8,0.067
U0281,0.685,95,3.7,81.6,0.164
U0282,0.764,25,4.2,91.3,0.073
U0283,0.608,11,3.9,97.6,0.12
U0284,0.766,15,4.0,92.0,0.102
U0285,0.865,15,4.2,100,0.095
U0286,0.717,10,4.6,87.9,0.121
U0287,0.633,8,4.1,95.3,0.071
U0288,0.924,10,4.2,96.0,0.096
U0289,0.678,6,5.0,90.2,0.078
U0290,0.586,13,4.0,83.2,0.133
U0291,0.772,10,3.8,90.8,0.107
U0292,0.79,103,4.4,88.0,0.128
U0293,0.78,3,4.7,96.1,0.079
U0294,0.713,11,4.2,88.8,0.136
U0295,0.847,14,4.1,97.2,0.106
U0296,0.816,11,4.0,89.6,0.121
U0297,0.599,19,4.4,95.0,0.115
U0298,0.698,23,3.9,87.4,0.099
U0299,0.716,7,4.4,90.0,0.088
U0300,0.833,11,4.1,89.5,0.089
U0301,0.886,7,4.5,93.3,0.086
U0302,0.776,15,4.1,98.2,0.068
U0303,0.69,5,3.6,86.3,0.069
U0304,0.821,22,3.9,84.6,0.099
U0305,0.819,12,4.2,91.5,0.07
U0306,0.787,12,4.0,84.9,0.143
U0307,0.928,9,4.3,97.4,0.085
U0308,0.804,4,4.6,94.8,0.098
U0309,0.874,15,4.6,86.2,0.121
U0310,0.822,6,4.8,91.7,0.074
U0311,0.708,6,4.5,87.4,0.101
U0312,0.784,15,3.3,86.7,0.093
U0313,0.828,11,4.6,93.1,0.048
U0314,0.773,8,4.4,90.8,0.082
U0315,0.809,23,4.3,88.7,0.12
U0316,0.875,7,3.9,93.0,0.054
U0317,0.577,11,4.3,87.1,0.107
U0318,0.831,14,4.3,83.9,0.078
U0319,0.783,2,4.6,93.5,0.107
U0320,0.514,26,4.0,79.8,0.133
U0321,0.599,18,4.5,93.7,0.133
U0322,0.989,16,5.0,93.2,0.105
U0323,0.681,19,3.6,86.2,0.095
U0324,0.612,12,3.9,80.5,0.1
U0325,0.722,28,4.2,90.0,0.096
U0326,0.63,11,3.6,90.7,0.119
U0327,0.675,23,4.1,88.4,0.112
U0328,0.623,14,4.0,88.0,0.112
U0329,0.801,24,4.0,85.1,0.077
U0330,0.623,20,4.4,86.7,0.116
U0331,0.822,13,4.2,96.6,0.113
U0332,0.986,8,4.2,91.3,0.106
U0333,0.733,10,4.5,95.8,0.109
U0334,0.713,11,4.3,91.9,0.119
U0335,0.88,5,4.4,92.8,0.073
U0336,0.77,10,4.0,90.7,0.104
U0337,0.62,5,4.1,80.8,0.127
U0338,0.616,29,3.6,77.7,0.127
U0339,0.628,20,4.4,89.7,0.122
U0340,0.706,22,5.0,90.2,0.118
U0341,0.831,7,4.2,89.1,0.075
U0342,0.831,7,4.1,98.6,0.051
U0343,0.569,17,3.6,74.4,0.18
U0344,0.885,8,4.3,87.6,0.079
U0345,0.727,4,4.5,88.3,0.072
U0346,0.565,9,4.2,91.1,0.126
U0347,0.753,19,4.5,89.1,0.126
U0348,0.734,7,4.3,82.8,0.124
U0349,0.677,10,4.2,81.8,0.131
U0350,0.462,25,3.9,76.3,0.137
U0351,0.836,29,4.3,87.3,0.116
U0352,0.637,54,4.2,78.0,0.077
U0353,0.701,44,4.1,83.4,0.111
U0354,0.713,20,4.7,94.8,0.106
U0355,0.879,5,4.5,91.0,0.075
U0356,0.724,18,4.0,95.7,0.118
U0357,0.79,9,4.3,100,0.076
U0358,0.675,15,4.5,84.5,0.094
U0359,0.613,21,4.2,84.3,0.143
U0360,0.73,16,4.0,88.3,0.143
U0361,0.697,17,4.0,87.4,0.116
U0362,0.471,21,3.5,82.0,0.139
U0363,0.914,13,4.3,92.1,0.058
U0364,0.67,23,3.9,87.3,0.103
U0365,0.596,22,3.8,84.2,0.182
U0366,0.684,9,4.1,90.2,0.089
U0367,0.766,21,3.9,84.1,0.105
U0368,0.68,23,4.2,76.7,0.065
U0369,0.794,4,4.5,89.3,0.078
U0370,0.678,18,4.6,100,0.066
U0371,0.682,10,3.5,97.9,0.106
U0372,0.728,13,4.0,86.5,0.13
U0373,0.573,43,3.3,86.0,0.156
U0374,0.697,14,4.3,90.5,0.146
U0375,0.638,24,4.0,84.0,0.108
U0376,0.623,26,3.8,89.3,0.099
U0377,0.841,8,4.2,93.6,0.051
U0378,0.746,4,4.3,100,0.095
U0379,0.639,8,4.5,85.5,0.057
U0380,0.712,10,3.8,91.8,0.116
U0381,0.945,3,4.5,97.8,0.078
U0382,0.816,6,5.0,90.1,0.118
U0383,0.632,48,2.9,75.3,0.127
U0384,0.642,35,4.0,90.5,0.111
U0385,0.505,10,4.3,87.1,0.126
U0386,0.815,20,4.2,90.2,0.102
U0387,0.721,13,4.5,88.0,0.097
U0388,0.832,12,3.9,83.9,0.093
U0389,0.732,29,4.6,89.2,0.109
U0390,0.622,13,4.0,84.6,0.128
U0391,0.822,34,3.9,86.5,0.135
U0392,0.597,29,4.5,84.3,0.115
U0393,0.718,14,3.8,89.9,0.105
U0394,0.696,11,4.2,90.8,0.092
U0395,0.771,13,4.1,80.7,0.084
U0396,0.549,37,3.4,76.8,0.141
U0397,0.759,8,4.2,89.3,0.112
U0398,0.657,23,3.8,85.2,0.09
U0399,0.686,18,3.9,89.2,0.097
U0400,0.653,12,4.2,89.2,0.154
U0401,0.631,20,4.3,87.5,0.11
U0402,0.547,13,4.1,87.5,0.136
U0403,0.623,17,4.3,85.7,0.128
U0404,0.82,10,5.0,85.4,0.078
U0405,0.776,6,4.5,95.5,0.064
U0406,0.63,16,4.6,83.8,0.102
U0407,0.852,27,4.0,93.4,0.051
U0408,0.632,44,3.8,82.2,0.15
U0409,0.701,11,4.7,100,0.033
U0410,0.883,5,4.3,82.6,0.069
U0411,0.788,4,4.1,96.4,0.073
U0412,0.731,8,3.9,95.1,0.131
U0413,0.687,13,3.9,85.9,0.07
U0414,0.735,15,4.3,79.1,0.104
U0415,0.73,9,3.9,87.7,0.094
U0416,0.756,17,3.8,92.0,0.116
U0417,0.766,3,4.5,94.5,0.066
U0418,0.707,10,4.2,86.2,0.068
U0419,0.836,17,4.1,81.7,0.073
U0420,0.791,12,4.0,83.7,0.105
U0421,0.952,6,4.6,83.6,0.066
U0422,0.74,4,4.2,95.7,0.048
U0423,0.802,10,4.4,85.9,0.128
U0424,0.666,18,4.5,90.0,0.108
U0425,0.822,10,4.5,90.3,0.105
U0426,0.497,47,4.2,83.8,0.142
U0427,0.681,7,3.6,86.6,0.138
U0428,0.816,5,4.3,93.8,0.118
U0429,0.727,32,4.3,87.9,0.109
U0430,0.709,4,4.6,93.4,0.098
U0431,0.924,14,4.8,93.4,0.065
U0432,0.865,7,4.9,94.8,0.102
U0433,0.52,9,3.5,79.2,0.149
U0434,0.626,13,4.4,88.4,0.145
U0435,0.615,11,4.5,98.4,0.032
U0436,0.803,3,4.8,100,0.094
U0437,0.841,10,4.5,91.9,0.119
U0438,0.824,24,3.9,86.2,0.074
U0439,0.831,8,4.3,92.1,0.075
U0440,0.579,10,4.5,87.1,0.101
U0441,0.901,8,4.2,89.4,0.071
U0442,0.772,27,4.3,80.2,0.121
U0443,0.66,24,4.1,86.2,0.079
U0444,0.927,6,4.7,94.0,0.041
U0445,0.668,11,4.2,90.3,0.075
U0446,0.798,12,4.1,90.9,0.137
U0447,0.686,13,3.9,94.3,0.111
U0448,0.772,12,4.6,98.4,0.088
U0449,0.739,12,3.9,84.4,0.114
U0450,0.83,12,4.1,88.6,0.12
U0451,0.834,18,4.1,93.7,0.105
U0452,0.631,7,3.7,85.2,0.134
U0453,0.773,31,4.1,86.2,0.112
U0454,0.654,15,4.3,82.9,0.091
U0455,0.99,5,4.6,92.1,0.111
U0456,0.786,8,4.0,93.4,0.113
U0457,0.934,11,4.0,85.2,0.105
U0458,0.766,7,4.1,89.4,0.15
U0459,0.809,20,4.1,94.9,0.068
U0460,0.751,10,4.1,90.5,0.099
U0461,0.651,12,4.2,89.7,0.105
U0462,0.735,39,4.2,88.0,0.115
U0463,0.738,18,4.0,85.3,0.12
U0464,0.512,38,3.0,77.3,0.149
U0465,0.612,16,3.8,82.5,0.087
U0466,0.901,17,4.2,92.5,0.086
U0467,0.776,5,4.3,97.1,0.105
U0468,0.797,6,4.5,100,0.078
U0469,0.85,11,4.7,100,0.064
U0470,0.9,12,4.6,94.7,0.052
U0471,0.65,13,4.3,85.6,0.142
U0472,0.699,25,3.9,87.7,0.116
U0473,0.737,31,4.5,89.1,0.115
U0474,0.606,11,4.6,92.6,0.091
U0475,0.684,18,3.8,92.1,0.104
U0476,0.805,16,4.0,86.0,0.093
U0477,0.685,8,4.1,80.5,0.082
U0478,0.723,22,4.4,89.5,0.129
U0479,0.83,9,4.7,98.3,0.058
U0480,0.752,5,4.7,94.2,0.075
U0481,0.839,12,3.8,89.5,0.111
U0482,0.663,4,4.0,88.7,0.102
U0483,0.778,8,4.0,84.4,0.097
U0484,0.636,20,3.9,89.0,0.099
U0485,0.69,10,4.0,89.0,0.088
U0486,0.694,13,3.8,92.5,0.089
U0487,0.772,6,4.0,88.3,0.102
U0488,0.847,6,4.3,96.1,0.107
U0489,0.86,5,3.8,90.9,0.092
U0490,0.649,18,4.0,81.5,0.158
U0491,0.717,7,3.5,90.6,0.105
U0492,0.72,36,4.1,86.6,0.113
U0493,0.599,11,3.8,77.0,0.171
U0494,0.636,4,4.4,95.6,0.067
U0495,0.635,19,3.6,88.6,0.119
U0496,0.643,17,3.8,82.1,0.127
U0497,0.676,30,4.0,88.1,0.112
U0498,0.494,25,3.9,75.4,0.157
U0499,0.581,23,4.0,91.7,0.121
U0500,0.751,14,3.8,90.8,0.106
