user_id,department,role,join_date,platform_pref,monthly_sessions_avg,engagement_tier,churned,churn_date
U0082,Neurology,Registered Nurse,2023-01-11,Web,26,Power User,No,2023-08-28
U0083,Cardiology,Physician,2023-03-25,Web,19,Active,No,
U0084,Cardiology,Nurse Practitioner,2023-03-02,iOS,16,Active,No,
U0085,Primary Care,Registered Nurse,2023-02-17,iOS,25,Power User,Yes,
U0086,Pediatrics,Physician,2023-03-16,Web,23,Power User,No,
U0087,Neurology,Physician Assistant,2023-01-26,iOS,20,Power User,Yes,
U0088,Primary Care,Care Coordinator,2023-01-16,iOS,15,Active,No,2023-11-29
U0089,Neurology,Registered Nurse,2023-01-09,Android,18,Active,No,2023-09-03
U0090,Primary Care,Physician Assistant,2023-04-01,Web,15,Active,No,
U0091,Primary Care,Registered Nurse,2023-03-20,Web,24,Power User,No,
U0092,Pediatrics,Registered Nurse,2023-02-01,Android,17,Active,Yes,
U0093,Cardiology,Physician Assistant,2023-03-14,Web,12,Active,No,
U0094,Cardiology,Registered Nurse,2023-02-03,Web,20,Power User,No,
U0095,Pediatrics,Care Coordinator,2023-01-02,Web,9,Casual,No,
U0096,Cardiology,Physician Assistant,2023-03-24,iOS,15,Active,No,2023-07-30
U0097,Cardiology,Physician Assistant,2023-03-30,Web,15,Active,No,
U0098,Primary Care,Care Coordinator,2023-02-12,Web,18,Active,No,
U0099,Cardiology,Physician,2023-01-25,Android,15,Active,No,
U0100,Primary Care,Physician Assistant,2023-02-05,iOS,21,Power User,No,
U0101,Pediatrics,Physician,2023-01-25,Web,17,Active,No,
U0102,Oncology,Physician,2023-03-12,Web,22,Power User,No,
U0103,Neurology,Physician,2023-01-02,Web,14,Active,No,2023-11-01
U0104,Oncology,Physician,2023-02-21,Web,16,Active,No,
U0105,Cardiology,Nurse Practitioner,2023-03-14,Web,18,Active,No,
U0106,Emergency,Care Coordinator,2023-01-29,iOS,11,Active,No,
U0107,Pediatrics,Care Coordinator,2023-02-24,iOS,10,Active,No,
U0108,Cardiology,Nurse Practitioner,2023-02-03,iOS,21,Power User,No,
U0109,Oncology,Nurse Practitioner,2023-01-01,Web,11,Active,Yes,
U0110,Pediatrics,Physician Assistant,2023-01-10,iOS,18,Active,No,
U0111,Primary Care,Care Coordinator,2023-03-26,Web,13,Active,No,
U0112,Pediatrics,Nurse Practitioner,2023-01-10,Web,13,Active,No,
U0113,Emergency,Registered Nurse,2023-02-26,iOS,26,Power User,No,
U0114,Neurology,Physician Assistant,2023-01-11,iOS,19,Active,No,
U0115,Emergency,Registered Nurse,2023-01-04,Android,31,Power User,No,
U0116,Primary Care,Registered Nurse,2023-03-15,Web,28,Power User,No,
U0117,Primary Care,Physician Assistant,2023-02-05,iOS,17,Active,No,2023-08-27
U0118,Neurology,Registered Nurse,2023-02-11,iOS,27,Power User,No,
U0119,Primary Care,Physician Assistant,2023-02-06,iOS,13,Active,Yes,2023-07-09
U0120,Pediatrics,Physician,2023-02-21,Android,15,Active,No,2023-12-04
U0121,Neurology,Physician Assistant,2023-01-07,iOS,16,Active,No,
U0122,Cardiology,Registered Nurse,2023-03-12,Web,26,Power User,No,
U0123,Neurology,Physician,2023-01-04,Web,23,Power User,No,
U0124,Emergency,Physician Assistant,2023-01-12,Web,14,Active,No,2023-05-01
U0125,Primary Care,Nurse Practitioner,2023-03-05,iOS,19,Active,No,
U0126,Neurology,Nurse Practitioner,2023-02-28,iOS,15,Active,No,
U0127,Emergency,Nurse Practitioner,2023-01-09,Web,15,Active,No,
U0128,Oncology,Registered Nurse,2023-02-08,Android,29,Power User,No,
U0129,Cardiology,Physician Assistant,2023-03-10,iOS,11,Active,No,
U0130,Cardiology,Nurse Practitioner,2023-03-15,Web,16,Active,No,
U0131,Pediatrics,Physician Assistant,2023-04-01,Android,18,Active,No,
U0132,Cardiology,Physician Assistant,2023-01-05,Web,13,Active,No,
U0133,Oncology,Physician Assistant,2023-01-13,iOS,11,Active,No,
U0134,Cardiology,Physician,2023-03-02,iOS,17,Active,No,
U0135,Neurology,Physician,2023-02-12,Web,23,Power User,No,
U0136,Neurology,Care Coordinator,2023-01-05,iOS,6,Casual,No,
U0137,Pediatrics,Nurse Practitioner,2023-01-12,iOS,14,Active,No,
U0138,Primary Care,Registered Nurse,2023-01-04,Web,23,Power User,No,
U0139,Pediatrics,Physician Assistant,2023-01-19,iOS,15,Active,No,
U0140,Emergency,Physician Assistant,2023-03-21,iOS,19,Active,No,
U0141,Cardiology,Physician Assistant,2023-03-23,Web,15,Active,No,
U0142,Primary Care,Care Coordinator,2023-01-21,Web,15,Active,No,
U0143,Pediatrics,Physician Assistant,2023-03-30,Web,15,Active,No,
U0144,Cardiology,Physician Assistant,2023-03-15,Web,23,Power User,No,
U0145,Oncology,Physician Assistant,2023-02-05,iOS,23,Power User,No,
U0146,Primary Care,Physician Assistant,2023-02-06,iOS,15,Active,No,
U0147,Cardiology,Nurse Practitioner,2023-03-21,iOS,16,Active,No,
U0148,Oncology,Physician,2023-02-09,iOS,25,Power User,Yes,
U0149,Cardiology,Physician,2023-02-07,Web,16,Active,No,
U0150,Pediatrics,Care Coordinator,2023-03-06,Android,16,Active,No,
U0151,Neurology,Registered Nurse,2023-02-13,Web,24,Power User,No,
U0152,Primary Care,Physician Assistant,2023-03-13,Web,11,Active,No,2023-12-01
U0153,Oncology,Physician Assistant,2023-02-17,iOS,12,Active,No,
U0154,Oncology,Nurse Practitioner,2023-03-02,Web,11,Active,No,
U0155,Emergency,Nurse Practitioner,2023-03-24,Android,23,Power User,No,
U0156,Cardiology,Physician,2023-01-05,Web,21,Power User,No,2023-12-02
U0157,Cardiology,Physician Assistant,2023-02-28,iOS,8,Casual,No,
U0158,Primary Care,Nurse Practitioner,2023-02-23,iOS,23,Power User,No,
U0159,Pediatrics,Physician,2023-03-30,Android,15,Active,No,2023-09-06
U0160,Emergency,Registered Nurse,2023-01-08,Web,25,Power User,No,
U0161,Neurology,Physician,2023-03-26,Android,19,Active,Yes,
U0162,Cardiology,Care Coordinator,2023-01-27,Web,18,Active,No,
U0163,Cardiology,Nurse Practitioner,2023-02-12,iOS,17,Active,No,
U0164,Cardiology,Care Coordinator,2023-02-02,iOS,5,Casual,Yes,
U0165,Cardiology,Physician,2023-02-15,Web,19,Active,No,2023-10-03
U0166,Emergency,Physician,2023-01-09,Web,15,Active,No,
U0167,Oncology,Physician Assistant,2023-03-06,iOS,16,Active,No,
U0168,Pediatrics,Physician Assistant,2023-03-24,Android,20,Power User,Yes,
U0169,Neurology,Physician Assistant,2023-03-29,Web,20,Power User,No,
U0170,Cardiology,Physician,2023-01-17,Web,22,Power User,No,
U0171,Pediatrics,Physician Assistant,2023-03-18,iOS,11,Active,Yes,
U0172,Primary Care,Care Coordinator,2023-01-28,Web,11,Active,No,
U0173,Neurology,Physician Assistant,2023-02-23,Web,15,Active,No,
U0174,Primary Care,Physician Assistant,2023-01-09,Web,12,Active,Yes,
U0175,Primary Care,Registered Nurse,2023-01-17,iOS,17,Active,No,
U0176,Pediatrics,Physician Assistant,2023-01-07,Android,13,Active,No,
U0177,Emergency,Care Coordinator,2023-01-28,Android,15,Active,No,
U0178,Oncology,Registered Nurse,2023-03-15,Web,26,Power User,No,
U0179,Emergency,Care Coordinator,2023-03-28,Android,11,Active,No,
U0180,Cardiology,Registered Nurse,2023-03-31,iOS,21,Power User,No,
U0181,Cardiology,Nurse Practitioner,2023-03-14,iOS,15,Active,No,2023-11-28
U0182,Cardiology,Physician Assistant,2023-02-23,Web,14,Active,No,
U0183,Pediatrics,Care Coordinator,2023-03-18,Web,13,Active,No,
U0184,Pediatrics,Physician Assistant,2023-03-26,Web,16,Active,No,
U0185,Cardiology,Care Coordinator,2023-01-15,iOS,11,Active,No,
U0186,Pediatrics,Physician,2023-01-29,Web,20,Power User,No,2023-08-03
U0187,Cardiology,Nurse Practitioner,2023-02-02,Web,16,Active,No,
U0188,Emergency,Nurse Practitioner,2023-03-06,iOS,18,Active,No,
U0189,Neurology,Physician,2023-02-25,Android,27,Power User,No,
U0190,Primary Care,Physician Assistant,2023-02-07,Web,16,Active,Yes,
U0191,Emergency,Physician Assistant,2023-03-30,Android,17,Active,No,
U0192,Emergency,Physician,2023-02-20,Android,17,Active,No,
U0193,Cardiology,Physician,2023-03-07,Web,15,Active,No,
U0194,Primary Care,Nurse Practitioner,2023-01-31,Web,12,Active,No,
U0195,Cardiology,Physician,2023-01-23,Web,23,Power User,No,
U0196,Primary Care,Care Coordinator,2023-03-24,iOS,10,Active,No,
U0197,Primary Care,Registered Nurse,2023-01-20,iOS,18,Active,No,
U0198,Pediatrics,Care Coordinator,2023-01-10,Web,14,Active,No,2023-07-26
U0199,Oncology,Physician,2023-03-20,iOS,15,Active,No,
U0200,Oncology,Physician Assistant,2023-03-15,iOS,13,Active,No,
U0201,Cardiology,Physician,2023-02-27,Web,25,Power User,No,
U0202,Cardiology,Physician,2023-02-01,iOS,23,Power User,No,
U0203,Emergency,Nurse Practitioner,2023-02-16,Web,14,Active,No,
U0204,Primary Care,Registered Nurse,2023-01-09,Web,24,Power User,No,
U0205,Pediatrics,Care Coordinator,2023-01-20,Web,9,Casual,No,
U0206,Primary Care,Physician Assistant,2023-01-17,iOS,20,Power User,No,
U0207,Neurology,Registered Nurse,2023-01-17,iOS,18,Active,No,
U0208,Primary Care,Physician Assistant,2023-03-07,Web,8,Casual,No,
U0209,Cardiology,Registered Nurse,2023-03-04,Web,29,Power User,No,
U0210,Emergency,Care Coordinator,2023-03-09,Web,29,Power User,No,
U0211,Cardiology,Care Coordinator,2023-02-18,iOS,13,Active,No,
U0212,Primary Care,Physician Assistant,2023-01-06,Web,17,Active,No,
U0213,Neurology,Care Coordinator,2023-02-06,Web,12,Active,No,
U0214,Neurology,Nurse Practitioner,2023-02-17,iOS,9,Casual,No,
U0215,Pediatrics,Physician Assistant,2023-03-06,Android,5,Casual,No,
U0216,Pediatrics,Physician,2023-03-24,Web,16,Active,No,
U0217,Primary Care,Care Coordinator,2023-01-16,Web,11,Active,No,
U0218,Neurology,Physician,2023-01-29,Android,25,Power User,No,
U0219,Neurology,Physician,2023-02-20,Android,15,Active,No,2023-04-21
U0220,Primary Care,Registered Nurse,2023-01-19,Web,22,Power User,No,
U0221,Primary Care,Nurse Practitioner,2023-04-01,Android,11,Active,Yes,
U0222,Cardiology,Care Coordinator,2023-03-19,iOS,13,Active,Yes,
U0223,Pediatrics,Physician,2023-01-07,iOS,18,Active,Yes,
U0224,Neurology,Care Coordinator,2023-03-10,Web,18,Active,No,
U0225,Cardiology,Registered Nurse,2023-02-24,iOS,26,Power User,No,
U0226,Emergency,Registered Nurse,2023-01-09,Android,22,Power User,No,
U0227,Emergency,Care Coordinator,2023-01-03,iOS,9,Casual,No,
U0228,Oncology,Registered Nurse,2023-01-09,Web,25,Power User,No,
U0229,Emergency,Registered Nurse,2023-01-18,Android,27,Power User,No,
U0230,Neurology,Physician Assistant,2023-03-22,Web,16,Active,No,
U0231,Neurology,Physician,2023-02-07,Android,20,Power User,No,
U0232,Neurology,Care Coordinator,2023-03-02,Web,19,Active,No,
U0233,Pediatrics,Physician,2023-03-25,Web,17,Active,No,
U0234,Neurology,Registered Nurse,2023-01-24,Web,24,Power User,No,
U0235,Emergency,Registered Nurse,2023-01-11,iOS,22,Power User,No,
U0236,Pediatrics,Physician,2023-01-11,Web,16,Active,No,
U0237,Primary Care,Physician Assistant,2023-01-22,Web,14,Active,No,
U0238,Neurology,Registered Nurse,2023-03-23,Android,19,Active,No,2023-09-25
U0239,Pediatrics,Care Coordinator,2023-03-28,Android,13,Active,No,
U0240,Cardiology,Physician,2023-01-31,iOS,19,Active,No,
U0241,Emergency,Physician,2023-03-19,Web,20,Power User,No,2023-05-11
U0242,Emergency,Registered Nurse,2023-02-20,Web,26,Power User,No,
U0243,Oncology,Nurse Practitioner,2023-03-05,Web,7,Casual,No,
U0244,Cardiology,Care Coordinator,2023-02-06,iOS,11,Active,No,
U0245,Cardiology,Physician,2023-02-27,Android,21,Power User,No,
U0246,Pediatrics,Registered Nurse,2023-04-01,Web,28,Power User,No,
U0247,Cardiology,Nurse Practitioner,2023-02-16,Web,14,Active,No,
U0248,Oncology,Registered Nurse,2023-03-12,iOS,22,Power User,No,
U0249,Cardiology,Care Coordinator,2023-01-12,iOS,16,Active,No,
U0250,Neurology,Care Coordinator,2023-01-10,Web,14,Active,No,2023-10-26
U0251,Primary Care,Care Coordinator,2023-02-14,iOS,17,Active,No,
U0252,Cardiology,Physician Assistant,2023-03-06,Android,20,Power User,Yes,
U0253,Cardiology,Registered Nurse,2023-01-22,Web,27,Power User,No,
U0254,Pediatrics,Physician,2023-02-02,Web,26,Power User,No,
U0255,Primary Care,Registered Nurse,2023-03-20,Web,17,Active,No,
U0256,Primary Care,Care Coordinator,2023-03-19,Web,11,Active,No,2023-03-16
U0257,Oncology,Physician,2023-03-24,Web,18,Active,No,
U0258,Oncology,Physician Assistant,2023-03-22,iOS,12,Active,No,
U0259,Cardiology,Physician Assistant,2023-02-08,Web,9,Casual,No,
U0260,Pediatrics,Care Coordinator,2023-01-19,Web,14,Active,No,
U0261,Pediatrics,Physician Assistant,2023-01-17,Web,15,Active,No,
U0262,Neurology,Nurse Practitioner,2023-01-19,Web,11,Active,No,
U0263,Emergency,Physician Assistant,2023-02-01,Android,23,Power User,No,
U0264,Cardiology,Nurse Practitioner,2023-03-05,Android,14,Active,No,
U0265,Neurology,Physician,2023-01-12,Android,22,Power User,No,
U0266,Oncology,Registered Nurse,2023-03-05,iOS,20,Power User,No,
U0267,Pediatrics,Care Coordinator,2023-01-02,Android,14,Active,No,
U0268,Pediatrics,Physician,2023-02-21,Web,15,Active,No,
U0269,Pediatrics,Physician,2023-02-19,Web,11,Active,No,
U0270,Oncology,Nurse Practitioner,2023-01-13,Web,16,Active,No,
U0271,Pediatrics,Nurse Practitioner,2023-01-26,Web,13,Active,Yes,
U0272,Neurology,Care Coordinator,2023-02-28,Web,10,Active,No,
U0273,Emergency,Registered Nurse,2023-01-21,Android,18,Active,No,
U0274,Emergency,Care Coordinator,2023-03-04,iOS,15,Active,No,
U0275,Pediatrics,Registered Nurse,2023-03-28,Web,25,Power User,No,
U0276,Primary Care,Physician,2023-03-18,Web,21,Power User,No,
U0277,Emergency,Care Coordinator,2023-01-30,Web,11,Active,No,
U0278,Neurology,Nurse Practitioner,2023-03-29,Web,11,Active,No,
U0279,Cardiology,Physician,2023-02-26,iOS,17,Active,No,
U0280,Neurology,Physician,2023-04-01,Web,20,Power User,No,
U0281,Primary Care,Physician Assistant,2023-03-09,Web,8,Casual,No,
U0282,Primary Care,Registered Nurse,2023-03-20,Web,29,Power User,No,
U0283,Pediatrics,Nurse Practitioner,2023-02-08,iOS,17,Active,No,
U0284,Emergency,Registered Nurse,2023-02-06,Web,16,Active,No,
U0285,Neurology,Registered Nurse,2023-01-19,iOS,21,Power User,No,
U0286,Pediatrics,Physician Assistant,2023-01-28,Web,18,Active,No,
U0287,Primary Care,Registered Nurse,2023-01-18,Web,27,Power User,Yes,
U0288,Cardiology,Nurse Practitioner,2023-01-07,Web,20,Power User,No,
U0289,Primary Care,Nurse Practitioner,2023-01-01,Web,27,Power User,No,
U0290,Neurology,Physician Assistant,2023-03-25,Web,13,Active,No,
U0291,Primary Care,Physician,2023-01-12,iOS,16,Active,No,2023-05-30
U0292,Neurology,Nurse Practitioner,2023-01-05,Android,14,Active,No,
U0293,Primary Care,Registered Nurse,2023-01-05,Web,27,Power User,No,
U0294,Primary Care,Care Coordinator,2023-03-09,Web,12,Active,No,
U0295,Neurology,Registered Nurse,2023-01-25,iOS,23,Power User,No,
U0296,Oncology,Registered Nurse,2023-02-07,iOS,19,Active,No,
U0297,Primary Care,Physician Assistant,2023-02-24,iOS,13,Active,No,
U0298,Pediatrics,Nurse Practitioner,2023-01-01,Web,16,Active,No,
U0299,Pediatrics,Registered Nurse,2023-03-16,iOS,22,Power User,No,2023-05-01
U0300,Neurology,Registered Nurse,2023-01-21,Web,21,Power User,No,
U0301,Primary Care,Registered Nurse,2023-03-30,Web,29,Power User,No,
U0302,Cardiology,Physician Assistant,2023-01-20,Web,21,Power User,No,
U0303,Primary Care,Care Coordinator,2023-03-02,Android,12,Active,No,
U0304,Emergency,Physician,2023-03-09,Web,11,Active,No,2023-12-15
U0305,Oncology,Physician,2023-03-12,iOS,20,Power User,No,
U0306,Neurology,Physician,2023-03-29,Web,16,Active,No,2023-11-18
U0307,Neurology,Physician,2023-02-28,iOS,21,Power User,No,
U0308,Pediatrics,Physician,2023-02-20,Web,21,Power User,Yes,
U0309,Oncology,Physician,2023-02-24,Android,17,Active,No,2023-10-29
U0310,Oncology,Registered Nurse,2023-02-22,Web,23,Power User,No,
U0311,Primary Care,Physician Assistant,2023-02-17,Android,19,Active,No,
U0312,Primary Care,Care Coordinator,2023-01-18,iOS,12,Active,No,
U0313,Emergency,Physician Assistant,2023-03-09,Android,23,Power User,No,
U0314,Neurology,Care Coordinator,2023-02-24,iOS,20,Power User,No,
U0315,Pediatrics,Nurse Practitioner,2023-02-05,iOS,19,Active,Yes,
U0316,Emergency,Physician,2023-01-31,Web,26,Power User,Yes,2023-03-26
U0317,Cardiology,Physician,2023-02-21,iOS,13,Active,No,
U0318,Pediatrics,Nurse Practitioner,2023-03-15,Web,18,Active,No,
U0319,Pediatrics,Nurse Practitioner,2023-02-08,iOS,24,Power User,No,
U0320,Emergency,Care Coordinator,2023-01-23,iOS,4,Casual,No,
U0321,Pediatrics,Physician Assistant,2023-03-09,Web,13,Active,No,
U0322,Neurology,Nurse Practitioner,2023-01-29,Web,20,Power User,No,
U0323,Oncology,Care Coordinator,2023-02-22,Web,17,Active,No,
U0324,Primary Care,Physician,2023-02-27,Android,17,Active,Yes,
U0325,Cardiology,Physician,2023-02-04,Web,14,Active,Yes,
U0326,Emergency,Care Coordinator,2023-01-28,Web,16,Active,No,
U0327,Oncology,Nurse Practitioner,2023-01-25,Android,18,Active,No,
U0328,Emergency,Nurse Practitioner,2023-02-20,Android,16,Active,No,
U0329,Neurology,Physician Assistant,2023-03-10,Web,13,Active,No,
U0330,Primary Care,Physician Assistant,2023-02-10,Android,12,Active,No,
U0331,Emergency,Nurse Practitioner,2023-01-19,iOS,21,Power User,No,
U0332,Cardiology,Registered Nurse,2023-01-30,Web,23,Power User,No,
U0333,Primary Care,Registered Nurse,2023-02-02,iOS,22,Power User,No,
U0334,Primary Care,Registered Nurse,2023-01-22,Web,17,Active,No,
U0335,Emergency,Physician,2023-03-09,Android,26,Power User,No,
U0336,Neurology,Nurse Practitioner,2023-03-22,Web,18,Active,No,2023-11-15
U0337,Neurology,Registered Nurse,2023-01-08,iOS,18,Active,No,
U0338,Oncology,Care Coordinator,2023-03-12,Web,8,Casual,Yes,
U0339,Emergency,Registered Nurse,2023-01-03,Web,16,Active,No,
U0340,Oncology,Care Coordinator,2023-01-20,Web,12,Active,No,
U0341,Pediatrics,Registered Nurse,2023-02-20,Web,31,Power User,No,
U0342,Pediatrics,Physician,2023-03-25,Android,23,Power User,No,2023-09-25
U0343,Neurology,Physician Assistant,2023-03-12,iOS,9,Casual,Yes,
U0344,Primary Care,Registered Nurse,2023-03-14,Android,23,Power User,No,
U0345,Oncology,Nurse Practitioner,2023-01-28,iOS,21,Power User,No,
U0346,Primary Care,Registered Nurse,2023-03-11,iOS,18,Active,Yes,
U0347,Pediatrics,Physician,2023-01-27,iOS,12,Active,No,2023-05-24
U0348,Emergency,Nurse Practitioner,2023-03-14,Android,13,Active,No,
U0349,Pediatrics,Physician Assistant,2023-01-18,Web,17,Active,No,
U0350,Oncology,Physician Assistant,2023-01-30,Android,9,Casual,No,
U0351,Emergency,Physician Assistant,2023-02-11,Android,18,Active,No,
U0352,Neurology,Physician Assistant,2023-01-24,iOS,16,Active,No,2023-07-31
U0353,Cardiology,Physician,2023-01-11,iOS,18,Active,No,
U0354,Pediatrics,Physician,2023-01-12,Web,22,Power User,No,
U0355,Pediatrics,Physician,2023-01-17,iOS,22,Power User,No,2023-04-16
U0356,Pediatrics,Care Coordinator,2023-01-12,iOS,14,Active,No,
U0357,Oncology,Registered Nurse,2023-02-22,Android,21,Power User,No,
U0358,Emergency,Care Coordinator,2023-01-22,iOS,13,Active,No,
U0359,Pediatrics,Physician Assistant,2023-01-19,Web,19,Active,No,2023-07-08
U0360,Cardiology,Physician Assistant,2023-03-18,iOS,17,Active,No,
U0361,Oncology,Physician Assistant,2023-02-12,Android,17,Active,No,
U0362,Primary Care,Care Coordinator,2023-01-18,Web,9,Casual,No,
U0363,Neurology,Registered Nurse,2023-01-23,Web,32,Power User,No,
U0364,Emergency,Nurse Practitioner,2023-02-11,Web,14,Active,No,
U0365,Oncology,Care Coordinator,2023-01-26,iOS,8,Casual,No,
U0366,Neurology,Nurse Practitioner,2023-02-26,iOS,13,Active,No,2023-09-27
U0367,Primary Care,Physician Assistant,2023-01-18,iOS,13,Active,No,
U0368,Oncology,Physician Assistant,2023-03-18,Web,13,Active,No,
U0369,Primary Care,Physician Assistant,2023-03-11,iOS,25,Power User,No,
U0370,Oncology,Physician,2023-02-01,iOS,20,Power User,No,
U0371,Oncology,Care Coordinator,2023-03-24,iOS,10,Active,No,
U0372,Oncology,Physician,2023-02-03,Web,14,Active,No,
U0373,Primary Care,Care Coordinator,2023-01-29,iOS,8,Casual,No,
U0374,Pediatrics,Physician,2023-03-03,Web,19,Active,No,
U0375,Oncology,Nurse Practitioner,2023-02-14,Web,14,Active,No,
U0376,Neurology,Physician Assistant,2023-02-10,Web,19,Active,Yes,
U0377,Oncology,Registered Nurse,2023-03-24,Android,28,Power User,No,
U0378,Emergency,Nurse Practitioner,2023-02-12,iOS,21,Power User,No,
