gene	length	logFC	logCPM	F	PValue	FDR
Ddx1	2469	0.325307518	7.404724636	10.14604912	0.006443296	0.041450644
Dcaf8	7049	-0.229703625	7.24105678	10.14696064	0.006441444	0.041450644
Il18rap	4999	-0.894652321	1.464450051	10.13672027	0.006462283	0.041539994
Slc9b2	9501	0.571990594	4.653468267	10.13560138	0.006464565	0.041539994
Uqcrb	548	0.309371202	8.173835078	10.12954637	0.006476928	0.041595696
Ywhae	5715	0.302248042	8.571694476	10.12629683	0.006483574	0.04161464
Polr3e	4629	0.292200988	5.471084358	10.12256856	0.006491209	0.041639905
Trap1	2622	0.275763649	6.855627618	10.11351555	0.006509792	0.041735326
Cnot6l	9684	-0.293580121	6.721617066	10.10948304	0.006518088	0.041764735
Ifit2	4361	-0.476934293	4.459389231	10.098001	0.006541779	0.041892692
Gm30693	3068	-1.197765089	0.877183422	10.08585963	0.006566938	0.042029899
Ilf2	2222	0.278192221	6.831233723	10.0777866	0.006583729	0.04211342
Scfd2	6395	0.334764469	4.507733586	10.07245405	0.006594847	0.042160581
Pex11a	2338	-0.863304024	2.915184504	10.06824695	0.006603633	0.042192793
Tor2a	2418	-0.361149822	5.75273567	10.06566338	0.006609036	0.042194167
Eef1b2	1933	0.281655107	8.98838805	10.06456017	0.006611344	0.042194167
Cela1	1106	-0.984642829	3.425078194	10.06273058	0.006615174	0.042194694
Sypl	8694	-0.28758931	7.083416482	10.05381977	0.006633867	0.042271407
Mrps33	1055	0.256113794	5.717107724	10.05341796	0.006634711	0.042271407
Rgs10	1543	-0.409434144	8.662828955	10.04234999	0.006658016	0.04239209
Mrfap1	1630	0.24961348	7.488019778	10.04084922	0.006661184	0.04239209
Slfn9	10874	0.452263522	5.074241147	10.03043517	0.00668321	0.042495044
Mrpl2	1119	0.240206119	5.934202441	10.02963293	0.006684911	0.042495044
Enthd1	3151	0.888371224	1.226589679	10.02320941	0.006698542	0.04255767
Hnrnpd	9124	0.266776457	5.907738122	10.01859615	0.006708352	0.042595957
Smox	6796	-0.584209023	3.627342108	10.00008335	0.006747886	0.042822829
E2f3	25205	0.499268532	4.445812409	9.995641068	0.006757412	0.042859123
Bco2	2565	1.473675634	0.197280978	9.990670493	0.006768089	0.042878531
Hmbs	1757	0.282989522	6.394175556	9.992256492	0.00676468	0.042878531
LOC118568610	15356	-1.434935873	1.467840298	9.986480532	0.006777105	0.0429115
Map3k5	7243	-0.462789761	4.641499821	9.982632408	0.006785397	0.042939855
Suz12	4373	0.255108386	5.706058951	9.98083568	0.006789273	0.042940244
Ube2n	4215	0.240907399	7.548289505	9.959578274	0.006835321	0.043182965
Batf	904	-0.215568951	7.574045088	9.960217058	0.006833932	0.043182965
Exoc1	6691	-0.277921496	5.338652522	9.952979461	0.006849688	0.043249463
Gm34702	1424	-1.27042485	1.133773708	9.941666795	0.0068744	0.043318582
Tnfrsf8	3496	1.014724419	4.694162919	9.940923869	0.006876026	0.043318582
Klf2	1816	-0.872862592	5.384731511	9.943570461	0.006870234	0.043318582
Cldnd1	2213	0.471921733	7.372822408	9.946013502	0.006864893	0.043318582
Sorcs2	16057	-1.31571486	0.398721099	9.937398649	0.00688375	0.043318758
Nmd3	1826	0.231674892	6.606262274	9.938384286	0.00688159	0.043318758
Hip1	25858	1.222963238	0.677768031	9.924599707	0.006911876	0.043471452
Tgfbr3	6090	-0.290193758	5.775597003	9.921724914	0.006918212	0.043487005
Ccsap	3743	-0.390447388	4.207618672	9.919341426	0.006923469	0.04349577
Agfg1	8383	0.38677252	6.850421035	9.914209118	0.006934807	0.043518425
Evi5l	5738	-0.354898472	4.593687857	9.914934707	0.006933203	0.043518425
Ybx3	1862	0.524200455	5.144005339	9.883647185	0.007002762	0.043920387
LOC115490137	8110	-1.124631092	1.100188278	9.87412299	0.007024096	0.044029659
Aldh18a1	3527	0.35168963	6.59195931	9.870802028	0.007031552	0.04405187
Uqcr11	436	0.29794863	7.792895546	9.865849495	0.007042688	0.044097099
Srsf10	6461	0.276111228	7.157261161	9.860662184	0.007054374	0.044145718
Tmem39a	3231	0.373073574	4.873133709	9.858726506	0.007058741	0.044148503
Zfand6	2273	-0.234542519	7.181461721	9.848170769	0.007082607	0.044273177
Il27ra	2857	-0.282075038	7.907933609	9.839597688	0.007102059	0.044370133
Plagl2	5407	0.385211899	5.691482976	9.827735458	0.007129075	0.044514214
Samm50	3446	0.256407798	7.052900441	9.821995231	0.007142191	0.044571389
Lrrc8a	4254	-0.316065019	5.313904918	9.814464983	0.007159439	0.044654272
Lman1	3714	0.385299384	5.422474816	9.805356949	0.007180365	0.044759991
Tmprss13	3754	-1.33030841	0.984834608	9.799454152	0.007193964	0.044793701
Abat	4636	-0.950305982	1.517673977	9.798106341	0.007197073	0.044793701
Dph3	3393	0.310008223	5.403804801	9.79783092	0.007197709	0.044793701
Tnfrsf23	4111	-1.497223231	0.588159892	9.795816582	0.007202359	0.044797878
Irs2	6794	-1.242603187	2.814316421	9.787758566	0.007220997	0.044864227
Rcc1	2327	0.47875606	6.909100678	9.788826329	0.007218524	0.044864227
Aplp1	2392	-0.660109227	3.099668103	9.783931361	0.007229868	0.044887886
Pdcd4	8749	0.324044241	7.739746124	9.782676772	0.007232779	0.044887886
Gm6712	2007	0.534920133	3.613728972	9.780811517	0.007237109	0.044890013
Tmco6	1977	-0.348794259	4.503083826	9.775752837	0.007248868	0.044938191
Dancr	1278	0.734262381	2.242495595	9.770322511	0.007261515	0.044991819
Phf5a	1648	0.263710939	7.014465827	9.76516799	0.007273543	0.045041556
Mrpl22	1587	0.229589704	5.902227142	9.756686347	0.007293385	0.0451396
Siva1	782	0.366469752	6.089718017	9.753999998	0.007299683	0.045153752
Zfp280c	6366	0.438266667	3.90848999	9.752161411	0.007303996	0.045155625
Pik3cd	6249	-0.312599531	8.693098281	9.748524615	0.007312538	0.045183617
Ankra2	3294	-0.350812373	4.9079147	9.745068646	0.007320665	0.045207574
Txndc16	4782	-0.333258738	4.617850255	9.743462315	0.007324446	0.045207574
Serinc1	2879	-0.326529333	5.782503694	9.727047787	0.007363213	0.04539707
Dhx15	3755	0.223798534	7.867796509	9.727272073	0.007362682	0.04539707
Tmem179b	848	-0.218783807	6.812794737	9.724694947	0.007368789	0.045406582
Mex3c	12682	0.56906823	4.137907725	9.718903457	0.007382535	0.045466401
Egln2	2629	-0.226284718	5.988282713	9.707897474	0.007408739	0.045602837
Tmx4	5148	-0.435746809	4.268483362	9.702532774	0.007421551	0.045631798
Bola2	337	0.290152449	6.190487034	9.703140713	0.007420098	0.045631798
Lmbrd1	7121	-0.34336671	5.340746812	9.696327672	0.007436402	0.045698149
Herc6	5279	-0.423280151	5.110615809	9.686758625	0.00745937	0.045814286
Bcl2a1b	764	0.292064611	7.28357249	9.684722693	0.007464267	0.045819368
Gphn	16084	0.451998424	3.879477824	9.682899104	0.007468657	0.045821329
Dclre1c	14437	-0.379867235	4.68012086	9.673620713	0.007491038	0.045924248
Cdc37	1741	0.194443793	8.037668166	9.672564283	0.007493591	0.045924248
Erp29	1243	0.246008935	6.542461082	9.667679828	0.007505408	0.045971646
Tg	8695	1.125351864	3.256383697	9.658965127	0.007526546	0.046026953
Sptlc1	3532	-0.278854861	6.066728911	9.658900591	0.007526703	0.046026953
Poldip2	2133	0.275777391	5.827292709	9.660792812	0.007522107	0.046026953
Marchf2	3966	-0.225570254	6.217372012	9.652945773	0.007541186	0.046090486
Map4k1	3503	-0.250095732	7.809866274	9.650477916	0.007547198	0.0461022
Lrpprc	4625	0.420383057	5.884470062	9.642178785	0.007567455	0.046200874
Chmp4b	1606	-0.468650285	4.77831347	9.637087773	0.007579913	0.046251848
Zc3h8	1645	0.493314604	3.214610205	9.627059545	0.007604521	0.046376866
Ypel5	3242	-0.434377345	6.421016097	9.615187585	0.007633772	0.046530051
Gpr89	4679	0.313060002	4.886720365	9.612433124	0.007640577	0.046546329
Hat1	1576	0.328693378	7.389047511	9.608991179	0.007649091	0.046547817
Isyna1	1838	0.240660278	7.49853301	9.610075317	0.007646408	0.046547817
Tbl1x	6334	0.204509972	6.992758815	9.596188514	0.007680853	0.046715854
Arrb1	8693	-0.613376371	3.919299136	9.593988949	0.007686325	0.046723894
Ube3a	16513	0.275387173	6.419835573	9.583707855	0.007711963	0.046854262
Por	3053	-0.207493671	6.509507374	9.582054431	0.007716095	0.046854262
Bnip3l	4336	-0.319349875	7.275677075	9.574193084	0.007735778	0.046948455
Ralbp1	5718	0.267184232	6.372818798	9.567911774	0.007751545	0.047018803
L1cam	5693	-1.037556704	2.477488276	9.543781104	0.007812465	0.047362806
Ubxn2a	4958	0.348030039	5.719953329	9.54161728	0.007817954	0.047370577
Chchd1	595	0.382216251	5.801254855	9.528891541	0.007850329	0.047541156
Aprt	866	0.209945721	7.239679229	9.522824992	0.007865817	0.04760934
1500011B03Rik	1739	-0.413283174	4.723659866	9.515734142	0.007883965	0.047693539
Epdr1	2387	-2.052674218	0.759649798	9.511790804	0.007894078	0.04772907
Knop1	5613	0.312996202	5.189697947	9.505810687	0.007909443	0.0477963
Fchsd1	4351	-0.479982909	3.482493339	9.495084443	0.007937089	0.047907574
Pnpt1	3147	0.329421234	5.68431599	9.493716222	0.007940623	0.047907574
Psma2	946	0.224941569	9.196784037	9.495561728	0.007935856	0.047907574
Gpr183	3065	-0.567356801	7.769058869	9.474193653	0.007991252	0.048187207
Zfp958	4867	0.330266751	4.620999372	9.440509648	0.008079483	0.048693158
Slc2a9	4377	-0.769644061	2.753929479	9.430946872	0.008104735	0.048793108
Sgf29	2185	0.301930096	5.081031534	9.43175481	0.008102598	0.048793108
Gm32643	14800	2.214126349	1.318300015	9.429226344	0.008109288	0.048794425
E230032D23Rik	1195	-1.050517146	1.992988138	9.425641037	0.008118786	0.048800971
Uhrf1bp1l	13461	-0.229386529	5.959762015	9.425542904	0.008119046	0.048800971
Dtwd2	7447	0.499034477	3.461473034	9.421986272	0.00812848	0.048831606
Arhgap30	4488	-0.272034886	8.021640602	9.40875194	0.008163697	0.049017011
Unc5cl	4292	-0.472852426	3.470693876	9.401549787	0.008182935	0.049106335
Hprt	1349	0.248948799	8.115537837	9.399411654	0.008188657	0.049114489
Nxt1	1101	0.262825153	6.029505644	9.392097645	0.008208263	0.049198063
Usp38	5564	-0.229737856	7.022629064	9.390955181	0.008211331	0.049198063
2700038G22Rik	1370	0.924818114	2.41691332	9.385037338	0.008227241	0.049214814
Atp1b1	2590	-0.821193189	1.925619617	9.386398533	0.008223578	0.049214814
Ccdc107	814	0.381652197	5.091259479	9.387905288	0.008219526	0.049214814
Ube2g2	1982	0.241301353	6.401032835	9.379368975	0.008242514	0.04927999
Dhx29	4748	0.347133893	5.515822605	9.375447071	0.0082531	0.049317092
Ifng	1210	2.033430897	1.10096174	9.35941078	0.00829655	0.049471692
Arc	3059	-0.558753036	4.262080122	9.360628798	0.00829324	0.049471692
Slc46a3	5023	-0.50212648	4.193954662	9.362880177	0.008287127	0.049471692
Traf3ip2	3186	-0.267674271	6.148908476	9.360818831	0.008292724	0.049471692
Letmd1	9631	-0.30922337	4.892943187	9.355120787	0.008308218	0.049515042
Ccnd3	2509	0.286350514	8.067429758	9.347453338	0.008329119	0.049613345
Zfp710	6942	-0.548083482	3.682034978	9.344305342	0.008337718	0.049638302
Mylip	3764	-0.612856609	3.633714813	9.332379806	0.008370386	0.049780325
Dock2	6512	-0.33185839	8.037655854	9.332368456	0.008370417	0.049780325
Rpl26	543	0.326972041	9.238126676	9.328507474	0.008381025	0.049790809
Prpf18	3598	-0.308373737	6.775871466	9.32953909	0.008378189	0.049790809
Gm50596	1857	-1.597256609	0.722560926	9.303347949	0.008450532	0.05015081
Hax1	1431	0.320021162	5.728669366	9.304017034	0.008448675	0.05015081
5830428M24Rik	1037	-0.684051965	3.550976978	9.297392038	0.008467083	0.050222559
Nsun5	3325	0.424667857	4.729924176	9.291169103	0.008484416	0.050298869
2210417A02Rik	550	-1.735557292	0.535851104	9.283553229	0.008505684	0.05033002
Coro2b	5419	-1.025035076	3.291362826	9.282885088	0.008507553	0.05033002
Car12	5661	0.885324168	2.341331094	9.285900089	0.008499124	0.05033002
Snrpd2	749	0.260348266	7.054082403	9.285852748	0.008499256	0.05033002
Zfp945	7261	-0.455100862	4.38030169	9.275451684	0.008528376	0.05042671
Srp72	3605	0.190619093	7.24279622	9.251361418	0.008596264	0.050801441
Selenoi	6806	0.3708228	4.345042156	9.237057258	0.008636869	0.051014624
Dtymk	3248	0.220457604	7.045686681	9.233497925	0.008647007	0.051047723
Zcchc10	1257	0.432701295	4.704036854	9.22434226	0.008673148	0.051110198
Smn1	1544	0.431362068	5.229569186	9.223432985	0.008675749	0.051110198
Unkl	11078	-0.431223642	3.637531823	9.226278455	0.008667613	0.051110198
Ppwd1	4937	0.418079141	4.114568354	9.227300026	0.008664693	0.051110198
Snx32	4275	-0.508526234	3.693716872	9.213188018	0.008705119	0.051202836
B4gat1	2035	-0.349934991	4.581323059	9.213836244	0.008703257	0.051202836
Tle5	1505	-0.251504542	6.993145203	9.214890361	0.008700231	0.051202836
Nfat5	20917	0.391968538	4.439215248	9.204183293	0.008731027	0.051274859
Tardbp	7673	0.312231122	7.395662315	9.205883484	0.008726129	0.051274859
Prpsap1	3409	0.199736779	6.607532975	9.205093315	0.008728405	0.051274859
Ndufa9	1322	0.205570755	7.408099057	9.202291288	0.008736482	0.051280144
Ddx20	3040	0.401845862	5.089247986	9.194355511	0.008759405	0.051383544
Twistnb	4409	0.26712936	5.957896508	9.193034916	0.008763227	0.051383544
Raver2	3990	-0.823356103	2.117960234	9.188450038	0.008776509	0.051434635
Orc6	1654	0.351899356	6.264077563	9.184404017	0.008788249	0.051476641
Cmss1	1973	0.518737165	3.649833913	9.167088921	0.008838696	0.051726376
Cebpz	4077	0.369906716	5.706825883	9.16619617	0.008841306	0.051726376
Tars2	4972	0.326449827	6.219084515	9.164670615	0.008845768	0.051726376
Slc25a20	1746	-0.303483184	5.593226909	9.16347651	0.008849263	0.051726376
Tmem176b	2111	-0.708807691	3.979473653	9.155932907	0.008871376	0.051801839
Cnppd1	2787	-0.231053148	7.030076183	9.156896477	0.008868547	0.051801839
Uprt	7052	0.360711807	3.73155013	9.148786766	0.008892382	0.051879828
Rptor	8237	0.355855964	4.391132694	9.148254763	0.008893948	0.051879828
Malt1	6332	-0.32192671	6.676366268	9.145618398	0.008901714	0.051898237
Mtfr1	3825	0.31720054	5.700385645	9.140712462	0.008916186	0.051928825
Eif2b4	2101	0.270049769	6.52681456	9.141568926	0.008913657	0.051928825
Acsf2	3279	-0.978514508	1.641643659	9.135380243	0.008931946	0.051993716
Rabl6	3191	0.272401865	5.623230493	9.129696955	0.008948779	0.052064782
Riok2	3197	0.314218561	4.990433155	9.119592068	0.008978798	0.052185899
Slc3a2	9995	0.293938606	6.886609279	9.118322562	0.008982578	0.052185899
Hadhb	5922	-0.234725132	7.294574315	9.118012135	0.008983503	0.052185899
Ttc1	1467	0.230437875	6.108293501	9.100787812	0.009034971	0.052457816
Hilpda	1106	0.337360355	4.492721294	9.095695856	0.009050252	0.052477217
Trappc9	7361	-0.289308567	5.792394579	9.093464186	0.009056958	0.052477217
Rpl12	638	0.288910946	9.757588646	9.097978424	0.009043398	0.052477217
Rpe	3146	0.220492484	6.305532048	9.094021768	0.009055282	0.052477217
Chrm4	3689	0.698946962	2.847678842	9.090205612	0.009066761	0.052506991
Adrb2	2269	-0.689709186	3.611266195	9.088530695	0.009071804	0.052509187
Phykpl	8529	0.410907083	4.498689382	9.074361088	0.0091146	0.052729785
Mapk1ip1l	8644	0.221898667	6.104219619	9.067625124	0.009135025	0.052820808
Samhd1	4710	-0.439917878	7.626470308	9.065996544	0.009139972	0.052822279
Anxa2	1799	-0.74145811	7.640447412	9.052496094	0.009181094	0.052874612
Cyria	9529	-0.590414082	5.162975547	9.05358545	0.009177768	0.052874612
Tango6	4409	0.562665481	3.648034705	9.05521098	0.009172807	0.052874612
Fasn	10434	0.464277359	7.694643161	9.052231137	0.009181903	0.052874612
Jak1	6041	-0.274416573	9.538257096	9.056786746	0.009168002	0.052874612
Gpr108	3031	-0.223042714	6.572346446	9.053993838	0.009176521	0.052874612
Snrnp70	4924	0.221610588	7.247550794	9.053580288	0.009177784	0.052874612
Kars	2340	0.223825781	7.55102595	9.049782135	0.009189386	0.052890651
Foxk1	7469	-0.292564443	4.881239483	9.045638803	0.009202063	0.052936548
Tesk1	3620	0.614729999	3.019478496	9.025823536	0.009262967	0.053259695
Tdrp	3063	-0.708236905	4.483809118	9.008283562	0.009317265	0.053529291
Snhg17	3172	0.419434013	4.377445524	9.00760766	0.009319365	0.053529291
Xrcc5	2901	0.332818629	5.74131126	9.004635158	0.009328606	0.053555044
Ddah2	2024	-0.788471989	1.937024728	9.002775793	0.009334391	0.053560946
Tsfm	1180	0.305572438	5.476948154	8.992161474	0.009367498	0.053723531
Trav16	350	-1.2105281	1.0610011	8.985758028	0.009387536	0.053783654
Ptprcap	846	-0.221900318	10.14600325	8.985999999	0.009386778	0.053783654
Tgs1	4539	0.312875327	5.345589945	8.981856926	0.009399768	0.053826341
1810034E14Rik	1802	-0.768438594	2.31116737	8.979861988	0.00940603	0.053834817
Zfp386	4877	-0.42864662	5.73368301	8.974595636	0.009422584	0.053902162
Abhd16a	2317	-0.317151771	5.67409437	8.972382509	0.009429551	0.05391462
Ppp2r1b	8032	0.26227705	7.282971488	8.96564649	0.009450792	0.054008639
Dut	2512	0.334284645	7.920725381	8.961310543	0.009464494	0.054044021
Med22	3576	0.305013416	6.117633073	8.960649694	0.009466585	0.054044021
Sumo3	3221	0.267075044	7.596315373	8.953552639	0.009489067	0.054119204
Srek1	13543	0.262666923	5.845259109	8.953457684	0.009489368	0.054119204
Trim28	3242	0.334362016	6.517943901	8.947630409	0.009507875	0.054123488
Rnf41	4498	-0.302529583	5.51924763	8.947881005	0.009507078	0.054123488
Abhd11	1765	0.277944819	4.78691588	8.944144748	0.009518965	0.054123488
Ifnar1	8101	-0.263651864	6.80628216	8.944630285	0.009517419	0.054123488
Rpp25l	839	0.253435817	5.363708825	8.945587986	0.009514371	0.054123488
Txnrd2	1905	0.239901353	5.375479479	8.948128912	0.00950629	0.054123488
Cyb5a	852	-0.371808704	7.794059034	8.94231563	0.00952479	0.054129273
Iftap	2580	1.229196543	0.105562108	8.938914088	0.009535635	0.054163559
Mrpl41	2423	0.205166131	6.247800322	8.931377734	0.009559712	0.054272936
Slc16a1	4430	0.390116948	5.935351876	8.926391295	0.009575681	0.054336196
Atg9a	4394	-0.282024558	5.042256019	8.918052362	0.009602455	0.054449796
Cops8	1843	0.188413721	6.639188936	8.917144907	0.009605374	0.054449796
Rps6-ps4	860	0.53729373	2.789554197	8.911561503	0.009623355	0.054524272
Aarsd1	1775	0.253539507	6.104038271	8.890863684	0.009690351	0.054876245
Gm16675	1319	-0.818508962	1.677964859	8.887300538	0.009701939	0.054886648
Gm5165	2447	0.440935675	3.401406229	8.888383485	0.009698416	0.054886648
Eef2kmt	2140	0.33891618	4.649852559	8.876045445	0.009738647	0.055066641
Rars	2225	0.371942239	6.612358872	8.872843078	0.00974912	0.055082235
Tmem30a	3660	-0.313186537	6.993705006	8.872210679	0.00975119	0.055082235
Hps3	4691	-0.341431682	4.665855056	8.87022746	0.009757684	0.055091278
Hibch	1838	-0.311027899	4.825902969	8.865495317	0.0097732	0.055151222
Ralb	2536	-0.457752833	4.29478034	8.861238222	0.009787183	0.055202458
Cry1	3977	-0.490749977	4.929402904	8.843478531	0.009845765	0.055488648
Rabgap1l	33824	0.247521399	6.996319769	8.842869631	0.009847781	0.055488648
Telo2	4131	0.363025299	4.912758073	8.838311648	0.009862885	0.055518179
Plbd2	3662	0.233505497	5.489988327	8.838653792	0.00986175	0.055518179
H2bu2	462	-0.686185864	2.395672815	8.833692794	0.009878217	0.055576698
Trim65	6943	0.398587017	3.884792732	8.828166287	0.009896599	0.055652305
Tbl1xr1	14231	0.309267344	7.002622421	8.815443996	0.009939065	0.055835326
Micu1	8315	-0.245341897	6.002522379	8.816480432	0.009935598	0.055835326
Panx1	2075	-0.384331306	5.871865598	8.796133749	0.010003923	0.056115675
Polr3f	4160	0.302975542	4.710221017	8.797235082	0.01000021	0.056115675
Ppm1g	2165	0.280653083	7.905571433	8.798510143	0.009995915	0.056115675
Bst2	808	0.333688415	5.16102755	8.789593545	0.010026	0.056211506
Rpl13	780	0.236557845	10.72394241	8.775684262	0.010073139	0.056447684
Pinx1	6343	0.387452331	3.916924764	8.765506659	0.010107793	0.056611613
Npepl1	2507	0.319798368	6.697289576	8.764142268	0.010112449	0.056611613
Eomes	3718	1.787733344	0.875088692	8.757870986	0.010133882	0.056703404
Tmem59	1544	-0.257859143	7.638898514	8.749742343	0.010161741	0.056825625
Emc4	1128	0.2351893	5.809406665	8.748554276	0.010165821	0.056825625
Arhgef11	6890	-0.678322985	3.394387813	8.731991831	0.010222885	0.057116245
Gm39792	1164	-1.348793383	0.947566335	8.728043652	0.010236542	0.057136233
Nemp2	3408	-0.311228304	5.293272319	8.726557702	0.010241688	0.057136233
Tsc22d4	3175	-0.219518793	7.658847538	8.727472434	0.01023852	0.057136233
Cd200r3	8296	-1.015330465	0.892541889	8.723744822	0.010251436	0.057162293
Madd	6229	-0.29366027	7.295973708	8.721875645	0.01025792	0.057170131
2310057M21Rik	5383	0.441364182	3.970074866	8.718417925	0.010269927	0.057208728
Gm20234	1141	-0.807043011	2.075481237	8.71247567	0.010290599	0.057295534
Nif3l1	2644	0.317061841	5.634097092	8.708761145	0.010303546	0.05733926
Eif2ak2	6632	-0.337624804	5.120177353	8.695799249	0.010348871	0.05755205
Ttc3	7799	0.272337839	6.351947024	8.693447445	0.01035712	0.05755205
Prdx6	2754	0.190034207	7.625056482	8.69363207	0.010356472	0.05755205
Rassf5	3738	-0.218641374	6.543478271	8.686394973	0.0103819	0.057661288
Cdh24	4095	-0.717964994	2.802998209	8.67888435	0.010408365	0.0577683
Tbc1d10c	1925	-0.237995152	9.289686825	8.678016022	0.01041143	0.0577683
Trim5	4017	-0.422332094	4.469643298	8.670919937	0.010436515	0.057878957
Tmem106b	6125	-0.299217807	5.794400037	8.667427684	0.010448885	0.057919031
Neurl3	2968	-0.420009673	6.051055421	8.664739448	0.010458419	0.05794335
Nlrp1b	11424	-0.879918353	2.069357709	8.656474339	0.010487795	0.058077521
Fancf	1691	1.176897535	1.169930204	8.653549438	0.010498214	0.058106633
Atp2b1	8195	-0.293633372	5.657262795	8.64811266	0.010517611	0.05818539
Hook2	5275	-0.588575845	2.914262565	8.643744336	0.010533227	0.058243156
St3gal4	14946	0.425321667	4.343923366	8.629181868	0.010585476	0.058503334
Dnaja1	3604	0.23438751	8.188453984	8.625430955	0.010598983	0.058549238
Smpdl3a	1791	-0.366935465	7.389780536	8.61950171	0.010620374	0.05863863
Miip	2977	-0.274029179	6.368088815	8.614303269	0.010639169	0.05871361
Ephx1	1739	-0.46322722	7.343719786	8.612196467	0.010646797	0.058726919
Mindy1	3225	-0.526119898	3.860238627	8.607360724	0.01066433	0.058790405
Haghl	2188	-0.401675203	4.523482775	8.606142818	0.010668751	0.058790405
U2af1	1092	0.26649427	7.283466237	8.601443195	0.01068583	0.058855714
Igsf23	2148	0.419359611	4.152294139	8.599095571	0.010694374	0.058873967
Tmem97	1333	0.575835162	5.803087073	8.594166886	0.010712336	0.058944028
Zfp213	2674	0.422810494	3.703847517	8.589783489	0.01072834	0.059003252
Map3k14	4173	-0.355627403	5.085317728	8.577357335	0.01077386	0.059224665
Sema4a	4532	-0.659829428	4.788132219	8.573392964	0.010788429	0.059246893
Mtg1	1893	0.303380999	4.613178118	8.574092545	0.010785856	0.059246893
Map1lc3b	2560	-0.274012641	8.212905587	8.569420412	0.010803051	0.059298267
Nans	2014	0.259192468	6.647364496	8.56118359	0.010833441	0.059436101
Cbr1	1081	-0.233879144	6.05946885	8.554288138	0.010858958	0.059547078
Ntrk3	23979	-1.426036847	1.776914735	8.550647625	0.010872458	0.059563082
Nudt16	3802	-0.365484161	5.247337364	8.551378769	0.010869745	0.059563082
Rpl4	1597	0.182513052	10.73381321	8.529204501	0.010952369	0.059971675
Galm	2378	0.322721735	5.939958802	8.527578558	0.010958455	0.059975834
Bcl2	7349	0.376479207	5.650463333	8.5220097	0.010979332	0.060060896
Eola1	1057	-0.339529472	4.426227122	8.518681603	0.010991831	0.060100064
Xrn1	13213	-0.316840188	5.265972627	8.507320661	0.01103462	0.060290328
Psma1	1255	0.247157734	8.577705511	8.506600467	0.011037339	0.060290328
Eef1akmt4	984	0.464417715	2.934126756	8.501602939	0.011056228	0.060364216
Ppp6r2	5688	-0.46715925	4.29723514	8.499758442	0.011063209	0.060373051
Spryd4	1570	0.422022003	3.981746885	8.496114232	0.011077016	0.060419112
Gm13842	1160	-0.524746087	3.245546436	8.492869931	0.011089325	0.060427695
Scml4	6805	-0.510124169	5.452658229	8.493724815	0.01108608	0.060427695
H1f0	2293	-0.412394434	7.038291082	8.491127471	0.011095942	0.060434503
Ndc1	4575	0.474555872	5.828372192	8.487623789	0.011109262	0.060475556
Srfbp1	2734	0.379730698	4.650662322	8.486319956	0.011114223	0.060475556
Noa1	3109	0.397114199	5.189653021	8.483181829	0.011126175	0.060482124
Fastkd2	3250	0.352685125	5.132235475	8.484483919	0.011121214	0.060482124
Dlat	4035	0.250693665	5.970770652	8.468738306	0.011181376	0.060752862
Hgh1	2444	0.353373671	4.588894627	8.46521267	0.011194898	0.060767678
Utp14a	2431	0.309566199	4.71521844	8.466393337	0.011190368	0.060767678
Camk2b	5738	-1.011558854	2.636738953	8.463637057	0.011200948	0.060771213
Stx11	4639	-0.539117998	6.995007995	8.460126576	0.011214439	0.060815103
Stk39	3752	0.306820733	5.246132897	8.457645036	0.011223987	0.060837577
Vps28	1042	-0.236608889	8.340359729	8.451280436	0.011248519	0.060941208
Ctla2a	1394	-0.711073185	3.645728273	8.44461363	0.011274283	0.061051406
Ulk1	5753	-0.411759179	4.460305247	8.439922456	0.011292452	0.061120396
Yars	2549	0.377785298	6.307268697	8.437696512	0.011301085	0.06113773
Tm2d3	1040	0.298919918	5.956589321	8.431514222	0.011325103	0.061238235
Ttyh3	5102	-0.483254519	4.000655482	8.429526565	0.011332837	0.061250637
Rps7	961	0.281714698	9.497540702	8.417307949	0.011380516	0.061478812
Tubb2a	1607	-0.767531922	3.726564345	8.413178629	0.011396681	0.061536612
Ndufaf5	2998	0.314378438	4.364329023	8.411606826	0.011402841	0.061540358
Gatc	1777	0.336401384	4.046913278	8.404143051	0.011432146	0.061668951
Dnaja3	2648	0.276150322	5.726243861	8.391035334	0.011483821	0.061918034
Dck	3057	-0.365266913	7.262183782	8.387439511	0.011498044	0.061965044
Wdyhv1	3236	0.261234357	6.245939861	8.379311492	0.011530268	0.062079273
Atp5o	772	0.21431786	8.073162515	8.379346477	0.011530129	0.062079273
Hells	11650	0.501373321	6.89789113	8.376695926	0.01154066	0.062105522
Esf1	3524	0.290223439	5.262906434	8.374257246	0.011550359	0.06212223
Nudt19	4914	0.248699118	6.278669667	8.373141144	0.011554801	0.06212223
Psmg3	871	0.320838913	5.24119267	8.369943219	0.011567539	0.062161029
Selenow	705	-0.336504521	8.273990937	8.36833496	0.011573952	0.062165814
Gm3521	1272	-0.827420487	2.536378323	8.353610761	0.01163285	0.06242617
Gk	4529	0.629163359	3.948086523	8.353445058	0.011633514	0.06242617
Ciz1	3694	-0.226311519	6.000634543	8.350348511	0.011645946	0.062463104
Cdkn2c	2253	-0.503564879	5.513487792	8.330045164	0.011727835	0.062851243
Xlr4a	1282	0.338093802	5.701880272	8.329639522	0.011729478	0.062851243
