symbol,hgnc_id,aliases,hg38_start,hg38_end,hg19_start,hg19_end,chrom_number_x,disease
HERC2,HGNC:4868,"['jdf2', 'p528', 'D15F37S1']",28111040,28322179,28111040,28322179,15,"pregnancy loss, recurrent, susceptibility"
HERC2,HGNC:4868,"['jdf2', 'p528', 'D15F37S1']",28111040,28322179,28111040,28322179,15,Autosomal recessive non-syndromic intellectual disability
HNF1A,HGNC:11621,"['HNF1', 'LFB1', 'HNF1α']",120978543,121002512,120978543,121002512,12,HNF1 homeobox A
HNF1A,HGNC:11621,"['HNF1', 'LFB1', 'HNF1α']",120978543,121002512,120978543,121002512,12,HNF1A Gene
HNF1A,HGNC:11621,"['HNF1', 'LFB1', 'HNF1α']",120978543,121002512,120978543,121002512,12,Wolff-Parkinson-White syndrome
HNF1A,HGNC:11621,"['HNF1', 'LFB1', 'HNF1α']",120978543,121002512,120978543,121002512,12,"hypogonadism, male"
HNF1A,HGNC:11621,"['HNF1', 'LFB1', 'HNF1α']",120978543,121002512,120978543,121002512,12,gyrate atrophy
HNF1A,HGNC:11621,"['HNF1', 'LFB1', 'HNF1α']",120978543,121002512,120978543,121002512,12,growth hormone secreting pituitary adenoma 1
HNF1A,HGNC:11621,"['HNF1', 'LFB1', 'HNF1α']",120978543,121002512,120978543,121002512,12,"basal ganglia calcification, idiopathic, childhood-onset"
HNF1A,HGNC:11621,"['HNF1', 'LFB1', 'HNF1α']",120978543,121002512,120978543,121002512,12,amyotrophic lateral sclerosis with polyglucosan bodies
HNF1A,HGNC:11621,"['HNF1', 'LFB1', 'HNF1α']",120978543,121002512,120978543,121002512,12,"pregnancy loss, recurrent, susceptibility"
HNF1A,HGNC:11621,"['HNF1', 'LFB1', 'HNF1α']",120978543,121002512,120978543,121002512,12,Autosomal recessive non-syndromic intellectual disability
MGP,HGNC:7060,[],14880864,14887639,14880864,14887639,12,matrix Gla protein
MGP,HGNC:7060,[],14880864,14887639,14880864,14887639,12,Carchariniformes
MGP,HGNC:7060,[],14880864,14887639,14880864,14887639,12,MGP Gene
MGP,HGNC:7060,[],14880864,14887639,14880864,14887639,12,Wolff-Parkinson-White syndrome
MGP,HGNC:7060,[],14880864,14887639,14880864,14887639,12,"hypogonadism, male"
MGP,HGNC:7060,[],14880864,14887639,14880864,14887639,12,gyrate atrophy
MGP,HGNC:7060,[],14880864,14887639,14880864,14887639,12,growth hormone secreting pituitary adenoma 1
MGP,HGNC:7060,[],14880864,14887639,14880864,14887639,12,"basal ganglia calcification, idiopathic, childhood-onset"
MGP,HGNC:7060,[],14880864,14887639,14880864,14887639,12,amyotrophic lateral sclerosis with polyglucosan bodies
MGP,HGNC:7060,[],14880864,14887639,14880864,14887639,12,"pregnancy loss, recurrent, susceptibility"
NPHS2,HGNC:13394,"['SRN1', 'PDCN']",179550494,179575952,179550494,179575952,1,"NPHS2 stomatin family member, podocin"
NPHS2,HGNC:13394,"['SRN1', 'PDCN']",179550494,179575952,179550494,179575952,1,NPHS2 Gene
NPHS2,HGNC:13394,"['SRN1', 'PDCN']",179550494,179575952,179550494,179575952,1,Podocin
NPHS2,HGNC:13394,"['SRN1', 'PDCN']",179550494,179575952,179550494,179575952,1,Wolff-Parkinson-White syndrome
NPHS2,HGNC:13394,"['SRN1', 'PDCN']",179550494,179575952,179550494,179575952,1,"hypogonadism, male"
NPHS2,HGNC:13394,"['SRN1', 'PDCN']",179550494,179575952,179550494,179575952,1,gyrate atrophy
NPHS2,HGNC:13394,"['SRN1', 'PDCN']",179550494,179575952,179550494,179575952,1,growth hormone secreting pituitary adenoma 1
NPHS2,HGNC:13394,"['SRN1', 'PDCN']",179550494,179575952,179550494,179575952,1,"basal ganglia calcification, idiopathic, childhood-onset"
NPHS2,HGNC:13394,"['SRN1', 'PDCN']",179550494,179575952,179550494,179575952,1,amyotrophic lateral sclerosis with polyglucosan bodies
NPHS2,HGNC:13394,"['SRN1', 'PDCN']",179550494,179575952,179550494,179575952,1,"pregnancy loss, recurrent, susceptibility"
RRAGD,HGNC:19903,"['DKFZP761H171', 'bA11D8.2.1']",89364616,89412735,89364616,89412735,6,Ras related GTP binding D
RRAGD,HGNC:19903,"['DKFZP761H171', 'bA11D8.2.1']",89364616,89412735,89364616,89412735,6,RRAGD Gene
RRAGD,HGNC:19903,"['DKFZP761H171', 'bA11D8.2.1']",89364616,89412735,89364616,89412735,6,Wolff-Parkinson-White syndrome
RRAGD,HGNC:19903,"['DKFZP761H171', 'bA11D8.2.1']",89364616,89412735,89364616,89412735,6,"hypogonadism, male"
RRAGD,HGNC:19903,"['DKFZP761H171', 'bA11D8.2.1']",89364616,89412735,89364616,89412735,6,gyrate atrophy
RRAGD,HGNC:19903,"['DKFZP761H171', 'bA11D8.2.1']",89364616,89412735,89364616,89412735,6,growth hormone secreting pituitary adenoma 1
RRAGD,HGNC:19903,"['DKFZP761H171', 'bA11D8.2.1']",89364616,89412735,89364616,89412735,6,"basal ganglia calcification, idiopathic, childhood-onset"
RRAGD,HGNC:19903,"['DKFZP761H171', 'bA11D8.2.1']",89364616,89412735,89364616,89412735,6,amyotrophic lateral sclerosis with polyglucosan bodies
RRAGD,HGNC:19903,"['DKFZP761H171', 'bA11D8.2.1']",89364616,89412735,89364616,89412735,6,"pregnancy loss, recurrent, susceptibility"
RRAGD,HGNC:19903,"['DKFZP761H171', 'bA11D8.2.1']",89364616,89412735,89364616,89412735,6,Autosomal recessive non-syndromic intellectual disability
